dataset,batch_size,technique,phase,duration_seconds,type
STAGGER,1000,KSDDM_95,drift_detection,0.7181940420123283,technique_timing
STAGGER,1000,KSDDM_90,drift_detection,0.6983320839935914,technique_timing
STAGGER,1000,JSDDM,drift_detection,0.35004550000303425,technique_timing
STAGGER,1500,HDDDM,drift_detection,0.29945049999514595,technique_timing
STAGGER,1500,KSDDM_95,drift_detection,0.5529805420082994,technique_timing
STAGGER,1500,KSDDM_90,drift_detection,0.6150247079785913,technique_timing
STAGGER,1500,JSDDM,drift_detection,0.2785475409764331,technique_timing
STAGGER,2000,HDDDM,drift_detection,0.29160862500430085,technique_timing
STAGGER,2000,KSDDM_95,drift_detection,0.5448907499958295,technique_timing
STAGGER,2000,KSDDM_90,drift_detection,0.5377164169913158,technique_timing
STAGGER,2000,JSDDM,drift_detection,0.28205383400199935,technique_timing
STAGGER,2500,HDDDM,drift_detection,0.27814016700722277,technique_timing
STAGGER,2500,KSDDM_95,drift_detection,0.47948675000225194,technique_timing
STAGGER,2500,KSDDM_90,drift_detection,0.48472958299680613,technique_timing
STAGGER,2500,JSDDM,drift_detection,0.2586268330051098,technique_timing
electricity,1000,HDDDM,drift_detection,0.3688771250017453,technique_timing
electricity,1000,KSDDM_95,drift_detection,0.7611087499826681,technique_timing
electricity,1000,KSDDM_90,drift_detection,0.6826606249960605,technique_timing
electricity,1000,JSDDM,drift_detection,0.32856183301191777,technique_timing
electricity,1500,HDDDM,drift_detection,0.3146243749943096,technique_timing
electricity,1500,KSDDM_95,drift_detection,0.6340630420017987,technique_timing
electricity,1500,KSDDM_90,drift_detection,0.5601582090021111,technique_timing
electricity,1500,JSDDM,drift_detection,0.31284012499963865,technique_timing
electricity,2000,HDDDM,drift_detection,0.2878449170093518,technique_timing
electricity,2000,KSDDM_95,drift_detection,0.5736091250146274,technique_timing
electricity,2000,KSDDM_90,drift_detection,0.6434426250052638,technique_timing
electricity,2000,JSDDM,drift_detection,0.2661711669934448,technique_timing
electricity,2500,HDDDM,drift_detection,0.28518183299456723,technique_timing
electricity,2500,KSDDM_95,drift_detection,0.5313891659898218,technique_timing
electricity,2500,KSDDM_90,drift_detection,0.5406137910031248,technique_timing
electricity,2500,JSDDM,drift_detection,0.30585616698954254,technique_timing
magic,1000,HDDDM,drift_detection,0.35873704199912027,technique_timing
magic,1000,KSDDM_95,drift_detection,0.4992270840157289,technique_timing
magic,1000,KSDDM_90,drift_detection,0.47999525000341237,technique_timing
magic,1000,JSDDM,drift_detection,0.2335845000052359,technique_timing
magic,1500,HDDDM,drift_detection,0.22371395901427604,technique_timing
magic,1500,KSDDM_95,drift_detection,0.5150506249919999,technique_timing
magic,1500,KSDDM_90,drift_detection,0.4427128750248812,technique_timing
magic,1500,JSDDM,drift_detection,0.19525366599555127,technique_timing
magic,2000,HDDDM,drift_detection,0.1925048330158461,technique_timing
magic,2000,KSDDM_95,drift_detection,0.4033194159856066,technique_timing
magic,2000,KSDDM_90,drift_detection,0.4102967090148013,technique_timing
magic,2000,JSDDM,drift_detection,0.17572545900475234,technique_timing
magic,2500,HDDDM,drift_detection,0.26918662499519996,technique_timing
magic,2500,KSDDM_95,drift_detection,0.4135982080188114,technique_timing
magic,2500,KSDDM_90,drift_detection,0.4189338749856688,technique_timing
magic,2500,JSDDM,drift_detection,0.1681864160054829,technique_timing
Abrupt (imbal.),1000,HDDDM,drift_detection,10.360665707994485,technique_timing
Abrupt (imbal.),1000,KSDDM_95,drift_detection,35.95584670800599,technique_timing
Abrupt (imbal.),1000,KSDDM_90,drift_detection,34.27536566602066,technique_timing
Abrupt (imbal.),1000,JSDDM,drift_detection,8.996661790995859,technique_timing
Abrupt (imbal.),1500,HDDDM,drift_detection,8.385304458002793,technique_timing
Abrupt (imbal.),1500,KSDDM_95,drift_detection,30.040989666013047,technique_timing
Abrupt (imbal.),1500,KSDDM_90,drift_detection,27.595297541003674,technique_timing
Abrupt (imbal.),1500,JSDDM,drift_detection,7.443803000001935,technique_timing
Abrupt (imbal.),2000,HDDDM,drift_detection,7.963011874991935,technique_timing
Abrupt (imbal.),2000,KSDDM_95,drift_detection,29.365158290980617,technique_timing
Abrupt (imbal.),2000,KSDDM_90,drift_detection,28.445070583024062,technique_timing
Abrupt (imbal.),2000,JSDDM,drift_detection,6.828027124982327,technique_timing
Abrupt (imbal.),2500,HDDDM,drift_detection,8.101607125019655,technique_timing
Abrupt (imbal.),2500,KSDDM_95,drift_detection,28.872208334010793,technique_timing
Abrupt (imbal.),2500,KSDDM_90,drift_detection,27.37396266698488,technique_timing
Abrupt (imbal.),2500,JSDDM,drift_detection,6.547002541017719,technique_timing
Abrupt (bal.),1000,HDDDM,drift_detection,2.0810283750179224,technique_timing
Abrupt (bal.),1000,KSDDM_95,drift_detection,4.964509124984033,technique_timing
Abrupt (bal.),1000,KSDDM_90,drift_detection,4.497365584014915,technique_timing
Abrupt (bal.),1000,JSDDM,drift_detection,1.8263729580212384,technique_timing
Abrupt (bal.),1500,HDDDM,drift_detection,1.7477044580155052,technique_timing
Abrupt (bal.),1500,KSDDM_95,drift_detection,4.244192459009355,technique_timing
Abrupt (bal.),1500,KSDDM_90,drift_detection,3.9784467499994207,technique_timing
Abrupt (bal.),1500,JSDDM,drift_detection,1.5071479170001112,technique_timing
Abrupt (bal.),2000,HDDDM,drift_detection,1.6572748749749735,technique_timing
Abrupt (bal.),2000,KSDDM_95,drift_detection,4.109468207985628,technique_timing
Abrupt (bal.),2000,KSDDM_90,drift_detection,4.0879987080115825,technique_timing
Abrupt (bal.),2000,JSDDM,drift_detection,1.4835154580068775,technique_timing
Abrupt (bal.),2500,HDDDM,drift_detection,1.4826467919920105,technique_timing
Abrupt (bal.),2500,KSDDM_95,drift_detection,3.99292829100159,technique_timing
Abrupt (bal.),2500,KSDDM_90,drift_detection,3.7031154169817455,technique_timing
Abrupt (bal.),2500,JSDDM,drift_detection,1.2249704169807956,technique_timing
Incremental (bal.),1000,HDDDM,drift_detection,1.6967569999978878,technique_timing
Incremental (bal.),1000,KSDDM_95,drift_detection,4.075380750000477,technique_timing
Incremental (bal.),1000,KSDDM_90,drift_detection,3.9102158339810558,technique_timing
