dataset,batch_size,technique,accuracy,precision,recall,f1,num_drifts,num_batches,auc,drift_alignment_with_batch,scenario,type_of_dataset,algorithm,run_id,algorithm_seed
synthetic_dataset_no_drifts,1000,HD,0.732725,0.7329167559800719,0.732725,0.7326714791799057,4,80,0.7327285520455344,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1000,JS,0.732725,0.7329167559800719,0.732725,0.7326714791799057,4,80,0.7327285520455344,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,Base,0.7303375,0.7307836949727207,0.7303375,0.7302094366353895,0,53,0.730342961271435,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,KS95,0.7314125,0.731864846803149,0.7314125,0.7312837729895574,3,53,0.7314179863386241,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,KS90,0.732875,0.7331188533974077,0.732875,0.7328068165776652,8,53,0.7328790083049381,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,HD,0.731525,0.7319233531475098,0.731525,0.7314118551351331,6,53,0.7315301457206341,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,1500,JS,0.731525,0.7319233531475098,0.731525,0.7314118551351331,6,53,0.7315301457206341,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,Base,0.7302375,0.7307187297901946,0.7302375,0.7300991925978062,0,40,0.7302431737651984,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,KS95,0.7292875,0.7296674121746609,0.7292875,0.7291776812105323,7,40,0.7292925487057843,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,KS90,0.7300625,0.7304008399792249,0.7300625,0.7299654066078846,11,40,0.7300672550042036,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,HD,0.7302375,0.7307187297901946,0.7302375,0.7300991925978062,0,40,0.7302431737651984,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2000,JS,0.7302375,0.7307187297901946,0.7302375,0.7300991925978062,0,40,0.7302431737651984,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,Base,0.7304125,0.7309154579426835,0.7304125,0.7302681057193547,0,32,0.7304182987761436,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,KS95,0.7311875,0.7316072075412274,0.7311875,0.7310679153950288,1,32,0.7311927863245491,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,KS90,0.7303625,0.7307039361820397,0.7303625,0.7302647454978807,5,32,0.7303672737729546,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,HD,0.7304125,0.7309154579426835,0.7304125,0.7302681057193547,0,32,0.7304182987761436,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_no_drifts,2500,JS,0.7304125,0.7309154579426835,0.7304125,0.7302681057193547,0,32,0.7304182987761436,1.0,no_drifts,synthetic,NB,23,23042
synthetic_dataset_with_parallel_drifts_abrupt,1000,Base,0.7229875,0.7251131403537616,0.7229875,0.7223444861285713,0,80,0.7230152456094157,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS95,0.693275,0.6987570507369366,0.693275,0.6911712480155595,27,80,0.6933225229797592,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1000,KS90,0.699675,0.7024447460267083,0.699675,0.6986617936904281,31,80,0.6997084088410928,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1000,HD,0.7086875,0.7116960101744734,0.7086875,0.7076656262801921,12,80,0.7087215658835677,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1000,JS,0.7086875,0.7116960101744734,0.7086875,0.7076656262801921,12,80,0.7087215658835677,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,Base,0.7276625,0.729563966261217,0.7276625,0.7271087032410339,0,53,0.7276884790295034,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS95,0.70005,0.7054589946692934,0.70005,0.6980869543278551,25,53,0.7000964327193829,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,KS90,0.70005,0.7054589946692934,0.70005,0.6980869543278551,25,53,0.7000964327193829,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,HD,0.7241,0.7264838444221514,0.7241,0.7233851459936453,2,53,0.7241293056652516,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,1500,JS,0.7193375,0.7212112244148698,0.7193375,0.7187540085464683,9,53,0.7193637637771444,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,Base,0.7276625,0.7294234922620307,0.7276625,0.7271497889923252,0,40,0.7276875015291802,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS95,0.6992125,0.7036268521816637,0.6992125,0.6975955558265902,22,40,0.6992546127535564,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,KS90,0.6992125,0.7036268521816637,0.6992125,0.6975955558265902,22,40,0.6992546127535564,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,HD,0.7275,0.7288689079284056,0.7275,0.7271015462454736,3,40,0.727522047411977,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2000,JS,0.72465,0.7266481314713455,0.72465,0.7240536944949277,1,40,0.7246768045962685,1.0,parallel_abrupt,synthetic,NB,24,24042
synthetic_dataset_with_parallel_drifts_abrupt,2500,Base,0.7290625,0.7304922272626072,0.7290625,0.7286513961985858,0,32,0.7290849576162141,1.0,parallel_abrupt,synthetic,NB,24,24042
